,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,Price,Location,link,Aidat,Depozito,Balkon Durumu,Balkon Sayısı,Görüntülü Gezilebilir mi?,Ada,Parsel,Balkon Tipi,Yapı Durumu,Yapı Tipi,WC Sayısı,Banyo Metrekare,Balkon Metrekare
0,17110646,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,110 m²,115 m²,2+1,16-20,Bahçe Katı,2,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,13.000TL, Merkezefendi - Bereketler Mahallesi,https://www.emlakjet.com//ilan/karadag-gayrimenkulden-bereketler-mahallesinde-21-kiralik-daire-17110646/,,,,,,,,,,,,,
1,17109845,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,50 m²,57 m²,1+1,5-10,2.Kat,3,Yerden Isıtma,Boş,Eşyalı,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,10.000TL, Pamukkale - İncilipınar Mahallesi,https://www.emlakjet.com//ilan/atlantisten-incilipinar-sali-pazari-alti-genis-11-apart-17109845/,,,,,,,,,,,,,
2,17109086,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,5-10,3.Kat,4,Merkezi Doğalgaz,Boş,,Kat Mülkiyeti,Evet,,1,Genel Fiyat,15.500TL, Merkezefendi - Kayalar Mahallesi,https://www.emlakjet.com//ilan/redstone-myra-dan-kayakoy-toki-de-kiralik-21-daire-17109086/,790 TL,15500 TL,Var,1,Evet,8189,2,,,,,,
3,17108098,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,120 m²,128 m²,3+1,11-15,4.Kat,7,Doğalgaz Sobalı,Boş,Boş,Kat Mülkiyeti,Evet,,1,Genel Fiyat,16.000TL, Pamukkale - 15 Mayıs Mahallesi,https://www.emlakjet.com//ilan/31-120-mtr-17108098/,500 TL,1 TL,Var,1,,222,1,Açık Balkon,,,,,
4,17108046,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,40 m²,45 m²,1+1,0 (Yeni),3.Kat,3,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,15.000TL, Pamukkale - Zeytinköy Mahallesi,https://www.emlakjet.com//ilan/pamukkale-universitesi-ne-yakin-mevkide-kiralik-apart-17108046/,,15000 TL,Var,1,Hayır,3702,10,Açık Balkon,Sıfır,Betonarme,1,,
5,17106623,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,5-10,Bahçe Katı,4,Yerden Isıtma,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,8.000TL, Pamukkale - Yunusemre Mahallesi,https://www.emlakjet.com//ilan/kz-grup-tan-kiniklida-universiteye-yakin-11-kiralik-apart-17106623/,,,,,,2874,26,,,,,,
6,17106593,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,60 m²,65 m²,2+1,11-15,2.Kat,6,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,14.000TL, Merkezefendi - Saraylar Mahallesi,https://www.emlakjet.com//ilan/bayramyeri-ve-otogar-yakini-kiralik-apart-17106593/,,,Var,1,,337,9,,,,,,
7,17106231,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,21 Ve Üzeri,3.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,9.000TL, Merkezefendi - Akkonak Mahallesi,https://www.emlakjet.com//ilan/twenty-den-akkonak-ta-kiralik-21-daire-17106231/,,,,,,,,,,,,,
8,17106144,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,150 m²,160 m²,3+1,2,3.Kat,4,Yerden Isıtma,Boş,Boş,Kat İrtifakı,Hayır,Yok,2,Genel Fiyat,28.000TL, Merkezefendi - Şemikler Mahallesi,https://www.emlakjet.com//ilan/nova-gayrimenkul-den-gumusler-bulv-uzerinde-31-kiralik-daire-17106144/,,,,,,,,,,,,,
9,17106090,04 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,127 m²,135 m²,2+1,21 Ve Üzeri,Yüksek Giriş,4,Merkezi (Pay Ölçer),Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,17.000TL, Pamukkale - Yunusemre Mahallesi,https://www.emlakjet.com//ilan/liva-gayrimenkulden-kiniklida-site-ici-kiralik-daire-17106090/,,,,,,,,,,,,,
