,Unnamed: 0,Tipi,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Eşya Durumu,Tapu Durumu,Site İçerisinde,Banyo Sayısı,Price,Balkon Sayısı,Balkon Tipi,WC Sayısı,İlandan sonra Geçen Gün,İlçe,Mahalle
0,0,Daire,110,3,16,Bahçe Katı,2,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,13000,0,Yok,1,0, Merkezefendi,Bereketler Mahallesi
1,1,Daire,50,1,5,2.Kat,3,Yerden Isıtma,Eşyalı,Kat İrtifakı,Hayır,1,10000,0,Yok,1,0, Pamukkale,İncilipınar Mahallesi
2,2,Daire,85,3,5,3.Kat,4,Merkezi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,15500,1,Kapalı Balkon,1,0, Merkezefendi,Kayalar Mahallesi
3,3,Daire,120,6,11,4.Kat,7,Doğalgaz Sobalı,Boş,Kat Mülkiyeti,Evet,1,16000,1,Açık Balkon,1,0, Pamukkale,15 Mayıs Mahallesi
4,4,Daire,40,1,0,3.Kat,3,Yerden Isıtma,Eşyalı,Kat Mülkiyeti,Hayır,1,15000,1,Açık Balkon,1,0, Pamukkale,Zeytinköy Mahallesi
5,5,Daire,45,1,5,Bahçe Katı,4,Yerden Isıtma,Boş,Kat Mülkiyeti,Hayır,1,8000,0,Yok,1,0, Pamukkale,Yunusemre Mahallesi
6,6,Daire,60,3,11,2.Kat,6,Kombi Doğalgaz,Eşyalı,Kat Mülkiyeti,Hayır,1,14000,1,Kapalı Balkon,1,0, Merkezefendi,Saraylar Mahallesi
7,7,Daire,100,3,21,3.Kat,4,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,9000,0,Yok,1,0, Merkezefendi,Akkonak Mahallesi
8,8,Daire,150,6,2,3.Kat,4,Yerden Isıtma,Boş,Kat İrtifakı,Hayır,2,28000,0,Yok,1,0, Merkezefendi,Şemikler Mahallesi
9,9,Daire,127,3,21,Yüksek Giriş,4,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,17000,0,Yok,1,0, Pamukkale,Yunusemre Mahallesi
10,10,Daire,25,0,5,4.Kat,4,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,7000,0,Yok,1,0, Pamukkale,Kınıklı Mahallesi
11,11,Daire,120,6,11,4.Kat,4,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,15000,0,Yok,1,1, Pamukkale,Kınıklı Mahallesi
12,12,Daire,65,3,5,1.Kat,6,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,14000,0,Yok,1,0, Merkezefendi,Saraylar Mahallesi
13,13,Daire,45,1,5,Düz Giriş (Zemin),3,Yerden Isıtma,Eşyalı,Kat Mülkiyeti,Hayır,1,13000,0,Yok,1,1, Pamukkale,Mehmetçik Mahallesi
14,14,Daire,60,3,4,2.Kat,5,Kombi Doğalgaz,Eşyalı,Kat Mülkiyeti,Evet,1,20000,1,Açık Balkon,1,1, Pamukkale,Asmalıevler Mahallesi
15,15,Daire,40,1,4,2.Kat,3,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,10000,0,Yok,1,2, Pamukkale,Kınıklı Mahallesi
16,16,Daire,45,1,5,2.Kat,4,Kombi Doğalgaz,Eşyalı,Kat Mülkiyeti,Hayır,1,10999,2,Kapalı Balkon,1,2, Pamukkale,Zeytinköy Mahallesi
17,17,Daire,105,3,5,2.Kat,3,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,17500,1,Açık Balkon,1,4, Merkezefendi,Karaman Mahallesi
18,18,Daire,120,3,16,2.Kat,4,Kombi Doğalgaz,Boş,Müstakil Tapulu,Hayır,1,15000,0,Yok,1,0, Pamukkale,Mehmetçik Mahallesi
19,19,Daire,115,6,5,7.Kat,9,Yerden Isıtma,Boş,Kat Mülkiyeti,Evet,1,27500,0,Yok,1,0, Merkezefendi,Şemikler Mahallesi
20,20,Daire,40,1,21,1.Kat,5,Kombi Doğalgaz,Eşyalı,Bilinmiyor,Hayır,1,10000,0,Yok,1,2, Pamukkale,Mehmetçik Mahallesi
21,21,Daire,44,1,5,1.Kat,3,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,10000,0,Yok,1,0, Pamukkale,Siteler Mahallesi
22,22,Daire,135,6,21,4.Kat,7,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,18000,0,Yok,1,1, Merkezefendi,Karaman Mahallesi
23,23,Daire,95,3,5,Bahçe Katı,3,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,11500,0,Yok,1,1, Pamukkale,Dokuzkavaklar Mahallesi
24,24,Daire,110,5,5,Bahçe Katı,3,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,15000,0,Yok,1,2, Merkezefendi,Hallaçlar Mahallesi
25,25,Daire,165,6,16,1.Kat,4,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,19000,0,Yok,1,2, Merkezefendi,Karaman Mahallesi
26,26,Daire,40,1,4,Düz Giriş (Zemin),2,Yerden Isıtma,Eşyalı,Kat Mülkiyeti,Hayır,1,13000,0,Yok,1,1, Pamukkale,Hürriyet Mahallesi
