,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Aidat,Tapu Durumu,Site İçerisinde,Depozito,Banyo Sayısı,Banyo Metrekare,Balkon Durumu,Balkon Sayısı,Balkon Tipi,Balkon Metrekare,WC Sayısı,WC Metrekare,Fiyat Durumu,Ada,Parsel,Price,Location,link,Yapı Durumu,Yapı Tipi,Eşya Durumu,Takas,Görüntülü Gezilebilir mi?,Salon Metrekare
0,17105914,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,90 m²,110 m²,2+1,21 Ve Üzeri,3.Kat,5,Kombi Doğalgaz,Kiracı Oturuyor,150 TL,Arsa Tapulu,Hayır,18000 TL,1,3 m²,Var,1,Kapalı Balkon,3 m²,1,1 m²,Genel Fiyat,null,3173,18.000TL, Esenler - Fevzi Çakmak Mahallesi,https://www.emlakjet.com//ilan/esenler-fevzicakmak-mah-kiralik-kombili-daire-17105914/,,,,,,
1,17104186,03 Nisan 2025,03 Nisan 2025,Konut,Kiralık,Daire,70 m²,80 m²,2+1,11-15,Yüksek Giriş,4,Kombi Doğalgaz,Boş,350 TL,Tapu Kaydı Yok,Hayır,16000 TL,1,,Var,1,,,,,Genel Fiyat,,,16.000TL, Bayrampaşa - Cevatpaşa Mahallesi,https://www.emlakjet.com//ilan/umur-gayrimenkul-den-kiralik-yuksek-giris-kat-daire-17104186/,,,,,,
2,17103363,03 Nisan 2025,04 Nisan 2025,Konut,Kiralık,Daire,70 m²,75 m²,2+1,16-20,Yüksek Giriş,5,Doğalgaz Sobalı,Boş,100 TL,Tapu Kaydı Yok,Hayır,14000 TL,1,,,,,,,,Genel Fiyat,,,14.000TL, Sultangazi - Uğur Mumcu Mahallesi,https://www.emlakjet.com//ilan/kiralik-yuksek-giris-daire-ugurmumcu-mahallesi-kartal-emlaktan-21-17103363/,,,,,,
3,17090071,29 Mart 2025,04 Nisan 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,21 Ve Üzeri,1.Kat,5,Kombi Doğalgaz,Boş,100 TL,Tapu Kaydı Yok,Hayır,17500 TL,1,,Var,,,,,,Genel Fiyat,,,17.500TL, Sultangazi - Cebeci Mahallesi,https://www.emlakjet.com//ilan/kiralik-daire-sultangazi-cebeci-mahallesi-kartal-emlaktan-21-17090071/,,,,,,
4,17055559,21 Mart 2025,21 Mart 2025,Konut,Kiralık,Daire,65 m²,75 m²,2+1,0 (Yeni),3.Kat,5,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,,,,,,,,Genel Fiyat,,8136,30.000TL, Bahçelievler - Hürriyet Mahallesi,https://www.emlakjet.com//ilan/hurriyet-mahallesinde-21-arakat-kiralik-sifir-daire-17055559/,,,,,,
5,17011284,14 Mart 2025,04 Nisan 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,16-20,2.Kat,5,Kombi Doğalgaz,Boş,100 TL,Tapu Kaydı Yok,Hayır,15500 TL,1,,Var,,,,,,Genel Fiyat,,,15.500TL, Sultangazi - Cebeci Mahallesi,https://www.emlakjet.com//ilan/kiralik-daire-sultangazi-cebeci-mah-kartal-emlaktan-21-17011284/,,,,,,
6,16779628,05 Şubat 2025,03 Nisan 2025,Konut,Kiralık,Daire,70 m²,80 m²,2+1,21 Ve Üzeri,Düz Giriş (Zemin),4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,60000 TL,1,,,,,,,,Genel Fiyat,146,17,30.000TL, Bakırköy - Kartaltepe Mahallesi,https://www.emlakjet.com//ilan/kartaltepede-21-esyali-mustakil-bahceli-3-cepheli-bakimli-kiralik-daire-16779628/,,,,,,
7,16444620,10 Aralık 2024,30 Aralık 2024,Konut,Kiralık,Daire,100 m²,110 m²,2+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,,Bilinmiyor,Hayır,,1,,,,,,,,Genel Fiyat,,,27.000TL, Fatih - Aksaray Mahallesi,https://www.emlakjet.com//ilan/es-gayrimenkul-cerrahpasa-has-karsisi-esyali-kiralik-daire-16444620/,İkinci El,Betonarme,Eşyalı,Yok,,
8,14886908,21 Mart 2024,21 Mart 2025,Konut,Kiralık,Daire,95 m²,120 m²,1+1,11-15,Çatı Katı,4,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,,1,,,,,,,,Genel Fiyat,8066,18,25.000TL, Pendik - Esenler Mahallesi,https://www.emlakjet.com//ilan/kiralik-pendik-esenlerde-full-mobilyali-yuksek-cati-kati-cok-buyuk-11-daire-14886908/,,,Eşyalı,Yok,,
9,17114031,05 Nisan 2025,05 Nisan 2025,Konut,Kiralık,Daire,140 m²,200 m²,3+1,5-10,Bahçe Katı,7,Merkezi (Pay Ölçer),Boş,,Kat Mülkiyeti,Evet,,3,,,,,,,,Genel Fiyat,,,75.000TL, Bahçelievler - Yenibosna Merkez Mahallesi,https://www.emlakjet.com//ilan/greenist-bahcelievler-kiralik-31-esyali-bahce-dubleks-17114031/,,,Eşyalı,Yok,,
